종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2680","15","0.56","2675","2685","2665","55656","148744590","130078200560","48536642"
"095570","AJ네트웍스","KOSPI",,"4870","40","0.83","4830","4875","4830","3118","15165000","220380936330","45252759"
"006840","AK홀딩스","KOSPI",,"15350","-40","-0.26","15390","15390","15350","141","2165170","203350061350","13247561"
"054620","APS","KOSDAQ","중견기업부","7120","20","0.28","7060","7200","7060","6458","45702080","141646853520","19894221"
"265520","AP시스템","KOSDAQ","우량기업부","33150","-1750","-5.01","34000","34250","33100","230542","7733313700","506579106150","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","19040","1040","5.78","18090","19070","18050","354996","6647282870","287167068160","15082304"
"109960","AP헬스케어","KOSDAQ","중견기업부","634","11","1.77","643","643","626","47752","30364561","72372542984","114152276"
"139050","BF랩스","KOSDAQ","관리종목(소속부없음)","2805","0","0.00","0","0","0","0","0","24247965555","8644551"
"027410","BGF","KOSPI",,"3750","5","0.13","3750","3750","3745","1674","6275810","358937966250","95716791"
"282330","BGF리테일","KOSPI",,"134400","-1800","-1.32","135900","135900","134000","2058","277310700","2322956966400","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","4105","-10","-0.24","4055","4115","4055","2784","11349165","221806593875","54033275"
"138930","BNK금융지주","KOSPI",,"8490","-30","-0.35","8580","8580","8450","48951","415851490","2734530838620","322088438"
"001460","BYC","KOSPI",,"39000","0","0.00","39700","39700","39000","59","2310100","243599850000","6246150"
"001465","BYC우","KOSPI",,"15200","0","0.00","15200","15200","15200","700","10640000","32738520000","2153850"
"013720","CBI","KOSDAQ","중견기업부","1515","-10","-0.66","1543","1543","1470","47790","71691520","64893794820","42834188"
"083790","CG인바이츠","KOSDAQ","벤처기업부","3135","-15","-0.48","3150","3150","3125","4596","14409530","241063260570","76894182"
"001040","CJ","KOSPI",,"132500","-900","-0.67","133500","133600","131500","11875","1574379600","3865952235000","29176998"
"079160","CJ CGV","KOSPI",,"5820","-10","-0.17","5860","5860","5800","65439","381045880","712555223580","122432169"
"035760","CJ ENM","KOSDAQ GLOBAL","중견기업부","78600","0","0.00","78200","78700","77800","3834","299763700","1723631504400","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","14750","-50","-0.34","14800","14800","14680","1435","21193280","134409404500","9112502"
"00104K","CJ4우(전환)","KOSPI",,"91400","-500","-0.54","91800","91900","91200","296","27084900","386303196800","4226512"
"000120","CJ대한통운","KOSPI",,"129700","-200","-0.15","130000","131000","128600","10697","1390077100","2958761016800","22812344"
"011150","CJ씨푸드","KOSPI",,"2835","-15","-0.53","2850","2860","2830","10986","31284250","101863741455","35930773"
"011155","CJ씨푸드1우","KOSPI",,"22400","200","0.90","22400","22400","22400","3","67200","4480000000","200000"
"001045","CJ우","KOSPI",,"60700","-200","-0.33","61000","61000","60500","188","11451000","137195536100","2260223"
"097950","CJ제일제당","KOSPI",,"340500","500","0.15","342000","342500","337500","1274","432932500","5125950333000","15054186"
"097955","CJ제일제당 우","KOSPI",,"146200","0","0.00","146900","146900","145800","139","20349500","194070704600","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","23000","0","0.00","23050","23050","22950","1258","28935200","273046478000","11871586"
"058820","CMG제약","KOSDAQ","우량기업부","2145","-10","-0.46","2155","2155","2140","41335","88750165","297923863380","138892244"
"023460","CNH","KOSDAQ","중견기업부","1793","-1","-0.06","1793","1793","1793","1645","2949485","66699600000","37200000"
"056730","CNT85","KOSDAQ","중견기업부","1115","-14","-1.24","1129","1129","1115","5190","5795391","82633972390","74111186"
"000480","CR홀딩스","KOSPI",,"6260","10","0.16","6190","6380","6130","35549","220986750","293534467400","46890490"
"065770","CS","KOSDAQ","벤처기업부","1238","0","0.00","1238","1238","1230","9525","11791779","24030978940","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","1336","1","0.07","1345","1345","1309","4044","5388149","81826233816","61247181"
"000590","CS홀딩스","KOSPI",,"66200","0","0.00","66200","66200","65900","131","8652700","76426708400","1154482"
"012030","DB","KOSPI",,"1420","-2","-0.14","1426","1428","1420","16414","23361025","285666984860","201173933"
"456440","DB금융스팩11호","KOSDAQ","SPAC(소속부없음)","2240","0","0.00","0","0","0","0","0","11825875000","5315000"
"016610","DB금융투자","KOSPI",,"4250","0","0.00","4255","4260","4250","322","1369605","180397153250","42446389"
"005830","DB손해보험","KOSPI",,"96500","-700","-0.72","97000","97600","95600","5484","527919000","6832200000000","70800000"
"000990","DB하이텍","KOSPI",,"43900","-550","-1.24","44500","44500","43600","39221","1724243200","1949098013200","44398588"
"139130","DGB금융지주","KOSPI",,"8390","-10","-0.12","8440","8440","8320","65241","545878240","1419133538870","169145833"
"060900","DGP","KOSDAQ","중견기업부","1419","-4","-0.28","1452","1452","1410","5187","7403794","35841426951","25258229"
"290120","DH오토리드","KOSDAQ","우량기업부","2970","10","0.34","2990","2990","2965","307","914970","46079959860","15515138"
"025440","DH오토웨어","KOSDAQ","중견기업부","469","25","5.63","450","484","444","108313","50284500","72181970280","153906120"
"001530","DI동일","KOSPI",,"25850","-150","-0.58","26000","26050","25800","2577","66664550","651825121200","25215672"
"000210","DL","KOSPI",,"55500","0","0.00","55700","56000","55200","4039","224574800","1163051562000","20955884"
"000215","DL우","KOSPI",,"26900","-300","-1.10","27150","27150","26900","147","3966400","45356493500","1686115"
"375500","DL이앤씨","KOSPI",,"35200","0","0.00","35200","35200","34900","8462","296702350","1362015529600","38693623"
